computer_id,learning_rate,batch_size,epochs,dropout,optimizer_type,run_id,train_losses,val_losses,train_accuracies,val_accuracies,timings,TP,TN,FP,FN,test_acc,epoch
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,6.6323,1.3306,27.8265,34.4828,98.1734,0,0,143,0,30.5376,1
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3591,1.3663,28.7494,28.8793,95.7063,0,0,143,0,30.5376,2
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3537,1.3715,28.4725,26.0776,97.0842,0,0,143,0,30.5376,3
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3505,1.369,30.1338,28.8793,95.9772,0,0,143,0,30.5376,4
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3539,1.3672,27.7342,28.8793,95.6389,0,0,143,0,30.5376,5
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3512,1.3694,28.288,28.8793,95.7375,0,0,143,0,30.5376,6
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3507,1.369,29.7647,26.0776,96.5885,0,0,143,0,30.5376,7
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3509,1.37,28.3802,28.8793,96.7969,0,0,143,0,30.5376,8
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3509,1.3702,29.6262,28.8793,98.3642,0,0,143,0,30.5376,9
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3521,1.3695,27.9188,26.0776,97.8122,0,0,143,0,30.5376,10
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3515,1.3701,29.7647,26.0776,98.2535,0,0,143,0,30.5376,11
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3523,1.3709,29.3032,26.0776,101.7938,0,0,143,0,30.5376,12
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3514,1.3691,29.1186,28.8793,92.5247,0,0,143,0,30.5376,13
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3508,1.3697,29.7185,28.8793,92.4339,0,0,143,0,30.5376,14
